Date,Registration,Call Sign,Flight Direction,Marketing Airline Desc,Non-PA Airport,Body Type Desc,Gate,Terminal Code,Total Gate Occ Time,Arrival Runway,Block Schedule,Block Actual,Total Calculated Delay,Total  Movement Time,Total Ramp Time,Total Taxi Time Calc,On Scheduled,On Actual
2025-08-02 00:00:00,N128DN,DAL2602,Missed Approach,Delta Air Lines,DTW,Narrow Body,Gate_84,Terminal C,,13,,,0,,,,2025-08-02 16:37:00,2025-08-02 16:23:00
2025-08-02 00:00:00,N124DX,DAL520,Missed Approach,Delta Air Lines,ATL,Narrow Body,Gate_89A,Terminal C,,13,,,0,,,,2025-08-02 22:56:00,2025-08-02 23:01:00
2025-08-02 00:00:00,N901XJ,EDV5109,Missed Approach,Delta Air Lines,RDU,Commuter,Gate_64,Terminal C,,13,,,0,,,,2025-08-02 17:14:00,2025-08-02 17:32:00
2025-08-03 00:00:00,N600LR,EDV5237,Missed Approach,Delta Air Lines,ILM,Commuter,Gate_62,Terminal C,,31,,,0,,,,2025-08-03 08:45:00,2025-08-03 09:05:00
2025-08-05 00:00:00,N485PX,EDV4951,Missed Approach,Delta Air Lines,MEM,Commuter,Gate_61,Terminal C,,4,,,0,,,,2025-08-05 09:20:00,2025-08-05 09:27:00
2025-08-08 00:00:00,N390DA,DAL2346,Missed Approach,Delta Air Lines,MIA,Narrow Body,Gate_85,Terminal C,,22,,,0,,,,2025-08-08 20:28:00,2025-08-08 20:21:00
2025-08-08 00:00:00,N917XJ,EDV5404,Missed Approach,Delta Air Lines,RDU,Commuter,Gate_63,Terminal C,,22,,,0,,,,2025-08-08 14:43:00,2025-08-08 14:45:00
2025-08-08 00:00:00,N201JQ,RPA5711,Missed Approach,Delta Air Lines,CLT,Commuter,Gate_94,Terminal C,,22-4,,,0,,,,2025-08-08 13:24:00,2025-08-08 13:36:00
2025-08-08 00:00:00,N203JQ,RPA5737,Missed Approach,Delta Air Lines,ACK,Commuter,Gate_93,Terminal C,,22,,,0,,,,2025-08-08 17:45:00,2025-08-08 18:00:00
2025-08-10 00:00:00,N310PQ,EDV5267,Missed Approach,Delta Air Lines,SAV,Commuter,Gate_76,Terminal C,,22,,,0,,,,2025-08-10 14:47:00,2025-08-10 14:47:00
2025-08-11 00:00:00,N827DN,DAL2347,Missed Approach,Delta Air Lines,MIA,Narrow Body,Gate_77,Terminal C,,22,,,0,,,,2025-08-11 14:06:00,2025-08-11 14:04:00
2025-08-11 00:00:00,N391DN,DAL997,Missed Approach,Delta Air Lines,ATL,Narrow Body,Gate_88A,Terminal C,,22,,,0,,,,2025-08-11 19:01:00,2025-08-11 19:06:00
2025-08-12 00:00:00,N127DN,DAL1995,Missed Approach,Delta Air Lines,FLL,Narrow Body,Gate_76,Terminal C,,22,,,0,,,,2025-08-12 13:49:00,2025-08-12 14:06:00
2025-08-13 00:00:00,N112DU,DAL403,Missed Approach,Delta Air Lines,BOS,Narrow Body,Gate_85,Terminal C,,22,,,0,,,,2025-08-13 17:07:00,2025-08-13 21:59:00
2025-08-13 00:00:00,N236JQ,RPA5764,Missed Approach,Delta Air Lines,BUF,Commuter,Gate_81,Terminal C,,22,,,0,,,,2025-08-13 07:20:00,2025-08-13 07:20:00
